disease_group,disease_id,disease,outcome,income,sex,age_group,rel_year,estimate,ci_low,ci_high,p_value,n,,,
Group 01,D0101,Group 01 / Disease 01,Mortality,low,male,very old,-5,-0.043556795,-0.26016173,0.17304814068379304,0.6934822862795214,2663,,,2200000
Group 01,D0101,Group 01 / Disease 01,Mortality,low,male,very old,-4,-0.161092927,-0.448001527,0.12581567437039126,0.27111551239237874,814,,,
Group 01,D0101,Group 01 / Disease 01,Mortality,low,male,very old,-3,-0.069691443,-0.308774048,0.16939116229938914,0.5677755074637907,2131,,,
Group 01,D0101,Group 01 / Disease 01,Mortality,low,male,very old,-2,-0.133579435,-0.318253039,0.051094168,0.156272161,4149,,,
Group 01,D0101,Group 01 / Disease 01,Mortality,low,male,very old,-1,-0.180545505,-0.359363208,-0.001727802,0.04782296,4319,,,
Group 01,D0101,Group 01 / Disease 01,Mortality,low,male,very old,0,-0.253105026,-0.477435119,-0.028774933,0.027007445635572225,4172,,,
Group 01,D0101,Group 01 / Disease 01,Mortality,low,male,very old,1,-0.342650702,-0.649736133,-0.035565271,0.028742633632944603,2339,,,
Group 01,D0101,Group 01 / Disease 01,Mortality,low,male,very old,2,-0.361507949,-0.576002497,-0.147013402,0.000955291,4486,,,
Group 01,D0101,Group 01 / Disease 01,Mortality,low,male,very old,3,-0.323722374,-0.580410485,-0.067034263,0.013441393121608858,2823,,,
Group 01,D0101,Group 01 / Disease 01,Mortality,low,male,very old,4,-0.370906814,-0.732035693,-0.009777935,0.04410737,940,,,
Group 01,D0101,Group 01 / Disease 01,Mortality,low,male,very old,5,-0.476951081,-0.682031208,-0.271870953,5.156051576804543e-06,4546,,,
Group 01,D0101,Group 01 / Disease 01,Mortality,low,male,mid,-5,-0.249221863,-0.435020662,-0.063423064,0.008562307,1978,,,
Group 01,D0101,Group 01 / Disease 01,Mortality,low,male,mid,-4,-0.272195395,-0.545650251,0.001259461,0.051060287,4713,,,
Group 01,D0101,Group 01 / Disease 01,Mortality,low,male,mid,-3,-0.128915387,-0.324983417,0.067152642,0.19750011388283362,2298,,,
Group 01,D0101,Group 01 / Disease 01,Mortality,low,male,mid,-2,-0.119925654,-0.36198678,0.12213547125189067,0.3315216804184109,4510,,,
Group 01,D0101,Group 01 / Disease 01,Mortality,low,male,mid,-1,-0.034915089,-0.283262507,0.2134323291145116,0.7828892521764856,1583,,,
Group 01,D0101,Group 01 / Disease 01,Mortality,low,male,mid,0,-0.016447138,-0.255620787,0.22272651172403019,0.8927839508586339,4024,,,
Group 01,D0101,Group 01 / Disease 01,Mortality,low,male,mid,1,0.013612004241041774,-0.135907234,0.16313124203352858,0.8583810328130126,3977,,,
Group 01,D0101,Group 01 / Disease 01,Mortality,low,male,mid,2,-0.028595582,-0.23613767,0.1789465055745848,0.7871195614224491,2626,,,
Group 01,D0101,Group 01 / Disease 01,Mortality,low,male,mid,3,0.008835904,-0.314266645,0.3319384527396598,0.9572536728020142,2929,,,
Group 01,D0101,Group 01 / Disease 01,Mortality,low,male,mid,4,-0.004550037,-0.296684804,0.28758473051335837,0.9756465586081267,4304,,,
Group 01,D0101,Group 01 / Disease 01,Mortality,low,male,mid,5,0.071794819,-0.172975061,0.31656469912977786,0.5653599221858603,2913,,,
Group 01,D0101,Group 01 / Disease 01,Mortality,low,male,old,-5,-0.015464285,-0.230159251,0.19923068043037856,0.8877300857992898,1867,,,
Group 01,D0101,Group 01 / Disease 01,Mortality,low,male,old,-4,0.011042803756950631,-0.212908502,0.23499410945391166,0.9230078883114194,2296,,,
Group 01,D0101,Group 01 / Disease 01,Mortality,low,male,old,-3,-0.138313375,-0.306876087,0.030249336599725535,0.10777623612309561,4144,,,
Group 01,D0101,Group 01 / Disease 01,Mortality,low,male,old,-2,0.024851187568250735,-0.218723446,0.26842582084919997,0.8415017697526479,479,,,
Group 01,D0101,Group 01 / Disease 01,Mortality,low,male,old,-1,0.061653953763156716,-0.148423591,0.27173149815856845,0.565139479,2624,,,
Group 01,D0101,Group 01 / Disease 01,Mortality,low,male,old,0,0.077799154,-0.139211269,0.2948095778133578,0.4822624954302781,3962,,,
Group 01,D0101,Group 01 / Disease 01,Mortality,low,male,old,1,0.085630739,-0.110648015,0.2819094938951804,0.3925006241955542,1804,,,
Group 01,D0101,Group 01 / Disease 01,Mortality,low,male,old,2,0.039886486099225876,-0.124998143,0.20477111493859035,0.6354039040714958,309,,,
Group 01,D0101,Group 01 / Disease 01,Mortality,low,male,old,3,0.1307201134757244,-0.076879029,0.3383192558718042,0.21714173731040587,4522,,,
Group 01,D0101,Group 01 / Disease 01,Mortality,low,male,old,4,0.1515588451191362,-0.109897188,0.4130148782696969,0.25589048831354155,2605,,,
Group 01,D0101,Group 01 / Disease 01,Mortality,low,male,old,5,0.18766671851827205,-0.041742335,0.41707577202911794,0.1088537846059392,1346,,,
Group 01,D0101,Group 01 / Disease 01,Mortality,low,female,young,-5,-0.27568916,-0.452251046,-0.099127273,0.002210384,1647,,,
Group 01,D0101,Group 01 / Disease 01,Mortality,low,female,young,-4,-0.181304627,-0.363262459,0.000653205,0.050823878,2395,,,
Group 01,D0101,Group 01 / Disease 01,Mortality,low,female,young,-3,-0.152761675,-0.367013354,0.061490003,0.16226864813469843,1476,,,
Group 01,D0101,Group 01 / Disease 01,Mortality,low,female,young,-2,-0.241112068,-0.421415348,-0.060808788,0.008766548,3737,,,
Group 01,D0101,Group 01 / Disease 01,Mortality,low,female,young,-1,-0.419528452,-0.634793307,-0.204263597,0.000133542,1506,,,
Group 01,D0101,Group 01 / Disease 01,Mortality,low,female,young,0,-0.319715411,-0.45334897,-0.186081852,2.7419780668225258e-06,3663,,,
Group 01,D0101,Group 01 / Disease 01,Mortality,low,female,young,1,-0.411334588,-0.61159857,-0.211070605,5.6790311048438014e-05,1668,,,
Group 01,D0101,Group 01 / Disease 01,Mortality,low,female,young,2,-0.589451438,-0.828892654,-0.350010223,1.3994179921539285e-06,2565,,,
Group 01,D0101,Group 01 / Disease 01,Mortality,low,female,young,3,-0.498566087,-0.735050994,-0.262081181,3.5939616242375294e-05,3653,,,
Group 01,D0101,Group 01 / Disease 01,Mortality,low,female,young,4,-0.432451247,-0.653577136,-0.211325358,0.000126523,3217,,,
Group 01,D0101,Group 01 / Disease 01,Mortality,low,female,young,5,-0.589664882,-0.837800687,-0.341529077,3.1975528047567536e-06,605,,,
Group 01,D0101,Group 01 / Disease 01,Mortality,low,female,mid,-5,-0.281330963,-0.602573173,0.039911246509182374,0.086072597,1040,,,
Group 01,D0101,Group 01 / Disease 01,Mortality,low,female,mid,-4,-0.336007433,-0.516724768,-0.155290099,0.000268199,3020,,,
Group 01,D0101,Group 01 / Disease 01,Mortality,low,female,mid,-3,-0.290958758,-0.445209612,-0.136707903,0.000218086,3139,,,
Group 01,D0101,Group 01 / Disease 01,Mortality,low,female,mid,-2,-0.252498452,-0.401215042,-0.103781862,0.000875391,3036,,,
Group 01,D0101,Group 01 / Disease 01,Mortality,low,female,mid,-1,-0.290913625,-0.544548239,-0.037279011,0.024571139,511,,,
Group 01,D0101,Group 01 / Disease 01,Mortality,low,female,mid,0,-0.02487549,-0.431410603,0.3816596229972721,0.9045382013152474,597,,,
Group 01,D0101,Group 01 / Disease 01,Mortality,low,female,mid,1,-0.126407869,-0.303423028,0.050607289242341646,0.16161788735368754,2802,,,
Group 01,D0101,Group 01 / Disease 01,Mortality,low,female,mid,2,-0.11309037,-0.300489433,0.074308694,0.23688522223579156,2472,,,
Group 01,D0101,Group 01 / Disease 01,Mortality,low,female,mid,3,-0.14268253,-0.341891238,0.056526178193918725,0.16036559385268268,1565,,,
Group 01,D0101,Group 01 / Disease 01,Mortality,low,female,mid,4,0.000877807,-0.243556649,0.24531226239924536,0.9943839756690547,303,,,
Group 01,D0101,Group 01 / Disease 01,Mortality,low,female,mid,5,-0.072038061,-0.246341621,0.10226549791863218,0.4179114323944708,1715,,,
Group 01,D0101,Group 01 / Disease 01,Mortality,low,female,old,-5,-0.02738696,-0.270247102,0.21547318201675422,0.8250720744245261,721,,,
Group 01,D0101,Group 01 / Disease 01,Mortality,low,female,old,-4,-0.091815669,-0.297657087,0.11402575023095073,0.3819772286748879,4880,,,
Group 01,D0101,Group 01 / Disease 01,Mortality,low,female,old,-3,-0.249257647,-0.441814354,-0.05670094,0.011175949171848387,1305,,,
Group 01,D0101,Group 01 / Disease 01,Mortality,low,female,old,-2,-0.003384204,-0.190286667,0.1835182593505283,0.9716895695070724,2408,,,
Group 01,D0101,Group 01 / Disease 01,Mortality,low,female,old,-1,-0.247509433,-0.537485926,0.042467059879602864,0.094335568,4079,,,
Group 01,D0101,Group 01 / Disease 01,Mortality,low,female,old,0,-0.146092658,-0.37208235,0.079897033,0.20513524239359526,4546,,,
Group 01,D0101,Group 01 / Disease 01,Mortality,low,female,old,1,-0.230885228,-0.492314273,0.030543817733255235,0.083450831,1428,,,
Group 01,D0101,Group 01 / Disease 01,Mortality,low,female,old,2,-0.216514367,-0.379648748,-0.053379986,0.009286009,4852,,,
Group 01,D0101,Group 01 / Disease 01,Mortality,low,female,old,3,-0.167922132,-0.495972698,0.1601284341660641,0.3157245973923941,4963,,,
Group 01,D0101,Group 01 / Disease 01,Mortality,low,female,old,4,-0.170543313,-0.398767379,0.057680754,0.14302060281367557,756,,,
Group 01,D0101,Group 01 / Disease 01,Mortality,low,female,old,5,-0.080475979,-0.32857567,0.16762371223900246,0.5249300802089751,2690,,,
Group 01,D0101,Group 01 / Disease 01,Mortality,high,male,young,-5,-0.095608737,-0.258809958,0.067592484,0.25087214290236437,4749,,,
Group 01,D0101,Group 01 / Disease 01,Mortality,high,male,young,-4,0.067879422,-0.268672122,0.4044309664591005,0.6926108834297116,1356,,,
Group 01,D0101,Group 01 / Disease 01,Mortality,high,male,young,-3,-0.03248367,-0.245152255,0.1801849157130183,0.7646527331953257,1962,,,
Group 01,D0101,Group 01 / Disease 01,Mortality,high,male,young,-2,-0.060613108,-0.243203159,0.12197694374022053,0.5152743065751524,3077,,,
Group 01,D0101,Group 01 / Disease 01,Mortality,high,male,young,-1,0.12548937035330548,-0.086507848,0.33748658912916163,0.2459674010694055,2596,,,
Group 01,D0101,Group 01 / Disease 01,Mortality,high,male,young,0,0.1070204746561007,-0.148028909,0.362069858,0.4108325102475694,2603,,,
Group 01,D0101,Group 01 / Disease 01,Mortality,high,male,young,1,0.2787671352030388,0.038240742677216194,0.5192935277288614,0.023109717845783084,286,,,
Group 01,D0101,Group 01 / Disease 01,Mortality,high,male,young,2,0.048227498,-0.18410786,0.2805628559418485,0.6841173527933191,3452,,,
Group 01,D0101,Group 01 / Disease 01,Mortality,high,male,young,3,0.19085552419427126,0.027321732147180616,0.35438931624136194,0.022169051990531097,2201,,,
Group 01,D0101,Group 01 / Disease 01,Mortality,high,male,young,4,0.2776567503215158,-0.011398319,0.5667118198120493,0.05973951,1158,,,
Group 01,D0101,Group 01 / Disease 01,Mortality,high,male,young,5,0.24434788791829537,0.007346756,0.4813490196828471,0.043304854294355266,2282,,,
Group 01,D0101,Group 01 / Disease 01,Mortality,high,male,mid,-5,0.21949536143852413,-0.074666799,0.5136575215664348,0.1436054086742291,794,,,
Group 01,D0101,Group 01 / Disease 01,Mortality,high,male,mid,-4,0.2742333609477877,-0.039605648,0.5880723696654211,0.086776357,2700,,,
Group 01,D0101,Group 01 / Disease 01,Mortality,high,male,mid,-3,0.16098363405381005,-0.061053468,0.3830207356212367,0.15529947544937706,1574,,,
Group 01,D0101,Group 01 / Disease 01,Mortality,high,male,mid,-2,0.22153370328915664,-0.02404881,0.4671162167662348,0.077049894,4235,,,
Group 01,D0101,Group 01 / Disease 01,Mortality,high,male,mid,-1,0.1948480595176815,-0.053771766,0.4434678853298491,0.12451653695235354,708,,,
Group 01,D0101,Group 01 / Disease 01,Mortality,high,male,mid,0,0.37448171699015786,0.028923254,0.7200401801335201,0.033665791,1071,,,
Group 01,D0101,Group 01 / Disease 01,Mortality,high,male,mid,1,0.13556804206350279,-0.013581568,0.284717652,0.074827159,4678,,,
Group 01,D0101,Group 01 / Disease 01,Mortality,high,male,mid,2,0.096777067,-0.156980507,0.3505346410814626,0.45476355210892194,3385,,,
Group 01,D0101,Group 01 / Disease 01,Mortality,high,male,mid,3,0.071181838,-0.125554351,0.267918027,0.4782284526713565,723,,,
Group 01,D0101,Group 01 / Disease 01,Mortality,high,male,mid,4,-0.05679966,-0.282434904,0.1688355834802818,0.6217334105842767,3872,,,
Group 01,D0101,Group 01 / Disease 01,Mortality,high,male,mid,5,0.058103225,-0.125537361,0.24174381104186735,0.5351676001964036,3108,,,
Group 01,D0101,Group 01 / Disease 01,Mortality,high,male,old,-5,0.3902405959745685,0.029840866,0.7506403261618324,0.033813666,1489,,,
Group 01,D0101,Group 01 / Disease 01,Mortality,high,male,old,-4,0.36712951758877777,0.023919002123484523,0.710340033,0.036029338038713554,1335,,,
Group 01,D0101,Group 01 / Disease 01,Mortality,high,male,old,-3,0.6345458856636825,0.46823400343861266,0.8008577678887524,7.549516567451064e-14,2482,,,
Group 01,D0101,Group 01 / Disease 01,Mortality,high,male,old,-2,0.37673310445899183,0.039885683,0.7135805259500406,0.028373647229160914,3053,,,
Group 01,D0101,Group 01 / Disease 01,Mortality,high,male,old,-1,0.21772824236879312,-0.00304942,0.43850590502739706,0.053245051775451246,4593,,,
Group 01,D0101,Group 01 / Disease 01,Mortality,high,male,old,0,0.27872624285968267,0.06564422,0.49180826587135285,0.010352794141308408,4620,,,
Group 01,D0101,Group 01 / Disease 01,Mortality,high,male,old,1,0.18050726800037095,0.026151142,0.334863394,0.021901904,2793,,,
Group 01,D0101,Group 01 / Disease 01,Mortality,high,male,old,2,0.11717025422023888,-0.131681335,0.3660218437302627,0.3560832670827341,301,,,
Group 01,D0101,Group 01 / Disease 01,Mortality,high,male,old,3,0.041323224,-0.221603241,0.30424968930038926,0.758047117,2676,,,
Group 01,D0101,Group 01 / Disease 01,Mortality,high,male,old,4,0.045451896,-0.210431381,0.3013351729669079,0.7277276717934926,3467,,,
Group 01,D0101,Group 01 / Disease 01,Mortality,high,male,old,5,-0.015461874,-0.250666836,0.21974308831886305,0.8974793229249833,4004,,,
Group 01,D0101,Group 01 / Disease 01,Mortality,high,female,young,-5,-0.233802822,-0.491690599,0.024084955423729876,0.075576566,4285,,,
Group 01,D0101,Group 01 / Disease 01,Mortality,high,female,young,-4,-0.357920742,-0.527710947,-0.188130536,3.600674732973097e-05,647,,,
Group 01,D0101,Group 01 / Disease 01,Mortality,high,female,young,-3,-0.213061178,-0.47649361,0.050371255,0.11291502339736659,4200,,,
Group 01,D0101,Group 01 / Disease 01,Mortality,high,female,young,-2,-0.310852945,-0.600586328,-0.021119563,0.035477094434222645,4043,,,
Group 01,D0101,Group 01 / Disease 01,Mortality,high,female,young,-1,-0.197325472,-0.404799813,0.010148869575844377,0.062304275601615444,4532,,,
Group 01,D0101,Group 01 / Disease 01,Mortality,high,female,young,0,-0.024598591,-0.262883639,0.21368645636684616,0.8396553844458039,3158,,,
Group 01,D0101,Group 01 / Disease 01,Mortality,high,female,young,1,0.00882002,-0.21156371,0.2292037502590536,0.9374768304210408,3939,,,
Group 01,D0101,Group 01 / Disease 01,Mortality,high,female,young,2,0.092099132,-0.229624596,0.4138228597910083,0.5747397196463115,4201,,,
Group 01,D0101,Group 01 / Disease 01,Mortality,high,female,young,3,0.12374115891795628,-0.121837771,0.36932008929465615,0.32335074127232954,2421,,,
Group 01,D0101,Group 01 / Disease 01,Mortality,high,female,young,4,0.22916374852161683,0.015832325903308686,0.442495171,0.035251216,2281,,,
Group 01,D0101,Group 01 / Disease 01,Mortality,high,female,young,5,0.2945189173116955,-0.042249275,0.6312871099045496,0.086508879,2493,,,
Group 01,D0101,Group 01 / Disease 01,Mortality,high,female,mid,-5,-0.223380928,-0.454975056,0.008213201,0.058692321,1077,,,
Group 01,D0101,Group 01 / Disease 01,Mortality,high,female,mid,-4,-0.197940563,-0.509583186,0.11370205868589109,0.21316897794559164,3491,,,
Group 01,D0101,Group 01 / Disease 01,Mortality,high,female,mid,-3,-0.09865681,-0.435716732,0.23840311247412938,0.56617872,3897,,,
Group 01,D0101,Group 01 / Disease 01,Mortality,high,female,mid,-2,-0.084227455,-0.421970805,0.253515896,0.6249898777820104,1776,,,
Group 01,D0101,Group 01 / Disease 01,Mortality,high,female,mid,-1,-0.058320096,-0.342205801,0.22556560903363038,0.6872036255962921,2854,,,
Group 01,D0101,Group 01 / Disease 01,Mortality,high,female,mid,0,-0.062201043,-0.256392522,0.13199043640852515,0.5301328297523535,2757,,,
Group 01,D0101,Group 01 / Disease 01,Mortality,high,female,mid,1,0.037556847128378965,-0.1283589,0.20347259408922486,0.6572830146670618,3067,,,
Group 01,D0101,Group 01 / Disease 01,Mortality,high,female,mid,2,-0.030947112,-0.335016441,0.273122217,0.8418857704810097,3535,,,
Group 01,D0101,Group 01 / Disease 01,Mortality,high,female,mid,3,0.070289332,-0.271964662,0.4125433263508147,0.6872948936464138,2987,,,
Group 01,D0101,Group 01 / Disease 01,Mortality,high,female,mid,4,-0.089628567,-0.32089172,0.14163458657495417,0.44748208535033585,605,,,
Group 01,D0101,Group 01 / Disease 01,Mortality,high,female,mid,5,-0.031711081,-0.236436227,0.1730140638658511,0.7614357576287063,2152,,,
Group 01,D0101,Group 01 / Disease 01,Mortality,high,female,old,-5,0.16478722771211682,-0.072340359,0.4019148147732409,0.17317766622222708,3049,,,
Group 01,D0101,Group 01 / Disease 01,Mortality,high,female,old,-4,0.12759189221949613,-0.068145059,0.32332884390857713,0.20137864303768538,2698,,,
Group 01,D0101,Group 01 / Disease 01,Mortality,high,female,old,-3,0.1517637119992963,-0.151368636,0.45489606,0.32645604009590024,3157,,,
Group 01,D0101,Group 01 / Disease 01,Mortality,high,female,old,-2,0.23168179623321675,0.13120961933878503,0.3321539731276485,6.194996706065936e-06,3460,,,
Group 01,D0101,Group 01 / Disease 01,Mortality,high,female,old,-1,0.16777565145650541,-0.091761097,0.42731240023641975,0.2051453483192558,2708,,,
Group 01,D0101,Group 01 / Disease 01,Mortality,high,female,old,0,0.2703418272726334,0.15646023794875227,0.3842234165965145,3.2743379287936136e-06,867,,,
Group 01,D0101,Group 01 / Disease 01,Mortality,high,female,old,1,0.1673496457066428,0.025147396394534616,0.30955189501875097,0.021076502780479345,4669,,,
Group 01,D0101,Group 01 / Disease 01,Mortality,high,female,old,2,0.21718515087009274,-0.039674218,0.47404451969689143,0.097466812,3698,,,
Group 01,D0101,Group 01 / Disease 01,Mortality,high,female,old,3,0.032465821,-0.250583484,0.31551512621671923,0.8221251749988703,2209,,,
Group 01,D0101,Group 01 / Disease 01,Mortality,high,female,old,4,0.14265112579021033,-0.106242102,0.39154435337427584,0.2612854659414827,4122,,,
Group 01,D0101,Group 01 / Disease 01,Mortality,high,female,old,5,0.057832948,-0.126602351,0.2422682460295873,0.5388237750714608,3860,,,
Group 01,D0101,Group 01 / Disease 01,Hospitalizations,low,male,young,-5,0.15269556466546869,-0.169614022,0.4750051508678163,0.3531179359912633,1044,,,
Group 01,D0101,Group 01 / Disease 01,Hospitalizations,low,male,young,-4,0.065160203,-0.181935401,0.3122558073281312,0.6052534275646884,2854,,,
Group 01,D0101,Group 01 / Disease 01,Hospitalizations,low,male,young,-3,0.16673493741115597,-0.069136915,0.40260678947812273,0.1658995984536651,3329,,,
Group 01,D0101,Group 01 / Disease 01,Hospitalizations,low,male,young,-2,0.1359715583183002,-0.148727462,0.42067057825143583,0.3492262206720804,4935,,,
Group 01,D0101,Group 01 / Disease 01,Hospitalizations,low,male,young,-1,0.080001277,-0.292064725,0.45206727965990307,0.673435763,4414,,,
Group 01,D0101,Group 01 / Disease 01,Hospitalizations,low,male,young,0,-0.156365909,-0.485896065,0.17316424788616025,0.35234887541744975,3257,,,
Group 01,D0101,Group 01 / Disease 01,Hospitalizations,low,male,young,1,-0.064456162,-0.305999532,0.17708720798574554,0.600954388,659,,,
Group 01,D0101,Group 01 / Disease 01,Hospitalizations,low,male,young,2,-0.187777053,-0.349380197,-0.02617391,0.022759387571313017,2380,,,
Group 01,D0101,Group 01 / Disease 01,Hospitalizations,low,male,young,3,-0.219454608,-0.407959394,-0.030949821,0.022500897060000025,258,,,
Group 01,D0101,Group 01 / Disease 01,Hospitalizations,low,male,young,4,-0.081173428,-0.332618349,0.17027149412640502,0.5269017340645892,1649,,,
Group 01,D0101,Group 01 / Disease 01,Hospitalizations,low,male,young,5,-0.267885808,-0.367251726,-0.16851989,1.2634689472434957e-07,412,,,
Group 01,D0101,Group 01 / Disease 01,Hospitalizations,low,male,mid,-5,-0.032415715,-0.275744311,0.21091288131210234,0.7940099891619068,4420,,,
Group 01,D0101,Group 01 / Disease 01,Hospitalizations,low,male,mid,-4,-0.013979785,-0.262657414,0.23469784378888287,0.9122631872079994,4344,,,
Group 01,D0101,Group 01 / Disease 01,Hospitalizations,low,male,mid,-3,-0.11738272,-0.342021569,0.10725612914946658,0.3057512843254613,339,,,
Group 01,D0101,Group 01 / Disease 01,Hospitalizations,low,male,mid,-2,-0.031485198,-0.314932272,0.25196187655094604,0.8276503292799049,269,,,
Group 01,D0101,Group 01 / Disease 01,Hospitalizations,low,male,mid,-1,0.008247668,-0.211321011,0.2278163471092884,0.9413099180082927,4571,,,
Group 01,D0101,Group 01 / Disease 01,Hospitalizations,low,male,mid,0,-0.029067513,-0.313043232,0.25490820705160705,0.8409926455324876,4135,,,
Group 01,D0101,Group 01 / Disease 01,Hospitalizations,low,male,mid,1,-0.109600352,-0.257647851,0.038447146,0.1467802927151154,3108,,,
Group 01,D0101,Group 01 / Disease 01,Hospitalizations,low,male,mid,2,-0.178790283,-0.374108333,0.016527768400849907,0.072789988,3411,,,
Group 01,D0101,Group 01 / Disease 01,Hospitalizations,low,male,mid,3,-0.001110145,-0.247940202,0.24571991172891194,0.9929664884165919,4044,,,
Group 01,D0101,Group 01 / Disease 01,Hospitalizations,low,male,mid,4,0.12259955310969882,-0.190668391,0.4358674976870391,0.4430461948227218,2343,,,
Group 01,D0101,Group 01 / Disease 01,Hospitalizations,low,male,mid,5,-0.012312687,-0.327103537,0.3024781634864444,0.9388915000750397,392,,,
Group 01,D0101,Group 01 / Disease 01,Hospitalizations,low,male,old,-5,0.18658870076868475,0.038444247707507706,0.3347331538298618,0.013563135,454,,,
Group 01,D0101,Group 01 / Disease 01,Hospitalizations,low,male,old,-4,0.18037744718380538,-0.102073352,0.46282824632326713,0.21068419309374842,1126,,,
Group 01,D0101,Group 01 / Disease 01,Hospitalizations,low,male,old,-3,0.32155842200821455,0.16763069511238451,0.4754861489040446,4.231109082697415e-05,2644,,,
Group 01,D0101,Group 01 / Disease 01,Hospitalizations,low,male,old,-2,0.075531374,-0.187580815,0.3386435624691455,0.5736695635958895,461,,,
Group 01,D0101,Group 01 / Disease 01,Hospitalizations,low,male,old,-1,0.12316601,-0.004376727,0.2507087474704352,0.058392309,2175,,,
Group 01,D0101,Group 01 / Disease 01,Hospitalizations,low,male,old,0,0.060130938,-0.143675728,0.2639376043294008,0.5630773460566805,1031,,,
Group 01,D0101,Group 01 / Disease 01,Hospitalizations,low,male,old,1,-0.002171144,-0.198899288,0.19455699908323695,0.9827422389704445,2806,,,
Group 01,D0101,Group 01 / Disease 01,Hospitalizations,low,male,old,2,0.043147555,-0.211377771,0.2976728804001139,0.7396910947754136,3963,,,
Group 01,D0101,Group 01 / Disease 01,Hospitalizations,low,male,old,3,0.062118904,-0.250736002,0.37497380888535636,0.6971520316385766,2798,,,
Group 01,D0101,Group 01 / Disease 01,Hospitalizations,low,male,old,4,-0.110105417,-0.408058095,0.18784726125794288,0.4688826229670253,1646,,,
Group 01,D0101,Group 01 / Disease 01,Hospitalizations,low,male,old,5,-0.043597792,-0.344335828,0.25714024376971434,0.7763031787308772,958,,,
Group 01,D0101,Group 01 / Disease 01,Hospitalizations,low,female,young,-5,-0.280856554,-0.520136165,-0.041576944,0.021416102,912,,,
Group 01,D0101,Group 01 / Disease 01,Hospitalizations,low,female,young,-4,-0.375669372,-0.674152294,-0.077186451,0.013630824,3150,,,
Group 01,D0101,Group 01 / Disease 01,Hospitalizations,low,female,young,-3,-0.303308613,-0.536987878,-0.069629349,0.010958459604236026,2253,,,
Group 01,D0101,Group 01 / Disease 01,Hospitalizations,low,female,young,-2,-0.246311209,-0.432509123,-0.060113295,0.009520403,4232,,,
Group 01,D0101,Group 01 / Disease 01,Hospitalizations,low,female,young,-1,-0.378732164,-0.548229978,-0.20923435,1.1895396700101202e-05,1244,,,
